,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Region,Treatment
0,B2M,B4bisNST,0.9714515480498592,1.0,0.04037360793264563,0.02854845195014071,False,NST,Con
1,B2M,B4bisNST,1.0285484519501407,1.0,0.04037360793264563,0.02854845195014071,False,NST,Con
2,B2M,B6NST,0.9594343133606252,1.0,0.05736854421238077,0.0405656866393747,False,NST,Con
3,B2M,B6NST,1.0405656866393747,1.0,0.05736854421238077,0.0405656866393747,False,NST,Con
4,B2M,R6 NST,1.063129617192747,1.0,0.08927876082140437,0.06312961719274689,False,NST,Con
5,B2M,R6 NST,0.9368703828072531,1.0,0.08927876082140437,0.06312961719274689,False,NST,Con
6,B2M,V3 NST,0.9711003849208774,1.0,0.15282399201314395,0.08823297292742188,False,NST,Con
7,B2M,V3 NST,0.8636891305676054,1.0,0.15282399201314395,0.08823297292742188,False,NST,Con
8,B2M,V3 NST,1.165210484511517,1.0,0.15282399201314395,0.08823297292742188,False,NST,Con
9,B2M,V4 NST,1.0,1.0,0.0,0.0,False,NST,Con
10,B2M,V4 NST,1.0,1.0,0.0,0.0,False,NST,Con
11,B2M,R5bis NST,1.169592120217199,0.9999999999999999,0.23983947648277143,0.16959212021719916,False,NST,Cocaine
12,B2M,R5bis NST,0.8304078797828007,0.9999999999999999,0.23983947648277143,0.16959212021719916,False,NST,Cocaine
13,B2M,R6bisNST,1.0283255647185372,1.0,0.04005839778683215,0.0283255647185372,False,NST,Cocaine
14,B2M,R6bisNST,0.9716744352814628,1.0,0.04005839778683215,0.0283255647185372,False,NST,Cocaine
15,B2M,R8bisNST,1.0677671589921807,1.0,0.09583723533023582,0.06776715899218072,False,NST,Cocaine
16,B2M,R8bisNST,0.9322328410078192,1.0,0.09583723533023582,0.06776715899218072,False,NST,Cocaine
17,B2M,V2NST,1.12483778873605,1.0,0.17654729392718888,0.12483778873604982,False,NST,Cocaine
18,B2M,V2NST,0.8751622112639502,1.0,0.17654729392718888,0.12483778873604982,False,NST,Cocaine
19,B2M,V8NST,0.874894336432798,1.0,0.17692612614642272,0.12510566356720204,False,NST,Cocaine
20,B2M,V8NST,1.125105663567202,1.0,0.17692612614642272,0.12510566356720204,False,NST,Cocaine
21,B2M,B4bisGP,1.0110916520723876,1.0,0.015685964789894275,0.011091652072387659,False,GP,Con
22,B2M,B4bisGP,0.9889083479276123,1.0,0.015685964789894275,0.011091652072387659,False,GP,Con
23,B2M,R6 GP,0.9215979491561632,1.0,0.11087724362121894,0.07840205084383678,False,GP,Con
24,B2M,R6 GP,1.0784020508438368,1.0,0.11087724362121894,0.07840205084383678,False,GP,Con
25,B2M,V3 GP,1.015268051888417,1.0,0.021592286051615405,0.015268051888416956,False,GP,Con
26,B2M,V3 GP,0.984731948111583,1.0,0.021592286051615405,0.015268051888416956,False,GP,Con
27,B2M,V4 GP,0.9747422680412371,1.0,0.03571982709086694,0.02525773195876296,False,GP,Con
28,B2M,V4 GP,1.025257731958763,1.0,0.03571982709086694,0.02525773195876296,False,GP,Con
29,B2M,R5bis GP,0.9368421052631578,1.0,0.08931875130777446,0.06315789473684212,False,GP,Cocaine
30,B2M,R5bis GP,1.063157894736842,1.0,0.08931875130777446,0.06315789473684212,False,GP,Cocaine
31,B2M,R6bisGP,1.3897778468230544,1.0,0.5512291172897462,0.3897778468230543,False,GP,Cocaine
32,B2M,R6bisGP,0.6102221531769458,1.0,0.5512291172897462,0.3897778468230543,False,GP,Cocaine
33,B2M,R8bisGP,0.931041021427217,1.0,0.09752272274502528,0.06895897857278294,False,GP,Cocaine
